text,sentence,snp,phenotype,ASSOCIATION,CONFIDENCE
"OBJECTIVE: Maternal smoking during pregnancy is associated with fetal growth retardation. We examined whether a common genetic variant atchromosome 15q25 rs1051730, which is known to be involved in nicotine metabolism, modifies the associations of maternal smoking with fetal growth characteristics. METHODS: This study was performed in 3,563 European mothers participating in a population-based prospective cohort study from earlypregnancy onwards. Smoking was assessed by postal questionnaires and fetal growth characteristics were measured by ultrasound examinations in each trimester of pregnancy. RESULTS: Among mothers who did not smoke during pregnancy (82.9%), maternal rs1051730 was not consistently associated with any fetal growth characteristic. Among mothers who continued smoking during pregnancy (17.1%), maternal rs1051730 was not associated with head circumference.  The T-allele of maternal rs1051730 was associated with a smaller second and third trimester fetal femur length [differences -0.23 mm (95%CI -0.45 to -0.00) and -0.41 mm (95%CI -0.69 to -0.13), respectively] and a smaller birth length [difference -2.61 mm (95%CI -5.32 to 0.11)].  The maternal  T-allele of rs1051730 was associated with a lower third trimester estimated fetal weight [difference -33 grams (95%CI -55 to -10)], and tended to be associated with birth weight [difference -38 grams (95%CI -89 to 13)]. This association persisted after adjustment for smoking quantity. CONCLUSIONS:  Our results suggest that maternal rs1051730 genotype modifies the associations of maternal smoking during pregnancy with impairedfetal growth in length and weight. These results should be considered as hypothesis generating and indicate the need for large-scale genome wide association studies focusing on gene--fetal smoke exposure interactions.","We examined whether a common genetic variant atchromosome 15q25 rs1051730, which is known to be involved in nicotine metabolism, modifies the associations of maternal smoking with fetal growth characteristics.",rs1051730,nicotine metabolism,neutral,zero
"OBJECTIVE: Maternal smoking during pregnancy is associated with fetal growth retardation. We examined whether a common genetic variant atchromosome 15q25 rs1051730, which is known to be involved in nicotine metabolism, modifies the associations of maternal smoking with fetal growth characteristics. METHODS: This study was performed in 3,563 European mothers participating in a population-based prospective cohort study from earlypregnancy onwards. Smoking was assessed by postal questionnaires and fetal growth characteristics were measured by ultrasound examinations in each trimester of pregnancy. RESULTS: Among mothers who did not smoke during pregnancy (82.9%), maternal rs1051730 was not consistently associated with any fetal growth characteristic. Among mothers who continued smoking during pregnancy (17.1%), maternal rs1051730 was not associated with head circumference.  The T-allele of maternal rs1051730 was associated with a smaller second and third trimester fetal femur length [differences -0.23 mm (95%CI -0.45 to -0.00) and -0.41 mm (95%CI -0.69 to -0.13), respectively] and a smaller birth length [difference -2.61 mm (95%CI -5.32 to 0.11)].  The maternal  T-allele of rs1051730 was associated with a lower third trimester estimated fetal weight [difference -33 grams (95%CI -55 to -10)], and tended to be associated with birth weight [difference -38 grams (95%CI -89 to 13)]. This association persisted after adjustment for smoking quantity. CONCLUSIONS:  Our results suggest that maternal rs1051730 genotype modifies the associations of maternal smoking during pregnancy with impairedfetal growth in length and weight. These results should be considered as hypothesis generating and indicate the need for large-scale genome wide association studies focusing on gene--fetal smoke exposure interactions.","We examined whether a common genetic variant atchromosome 15q25 rs1051730, which is known to be involved in nicotine metabolism, modifies the associations of maternal smoking with fetal growth characteristics.",rs1051730,fetal growth characteristics,positive,weak
"OBJECTIVE: Maternal smoking during pregnancy is associated with fetal growth retardation. We examined whether a common genetic variant atchromosome 15q25 rs1051730, which is known to be involved in nicotine metabolism, modifies the associations of maternal smoking with fetal growth characteristics. METHODS: This study was performed in 3,563 European mothers participating in a population-based prospective cohort study from earlypregnancy onwards. Smoking was assessed by postal questionnaires and fetal growth characteristics were measured by ultrasound examinations in each trimester of pregnancy. RESULTS: Among mothers who did not smoke during pregnancy (82.9%), maternal rs1051730 was not consistently associated with any fetal growth characteristic. Among mothers who continued smoking during pregnancy (17.1%), maternal rs1051730 was not associated with head circumference.  The T-allele of maternal rs1051730 was associated with a smaller second and third trimester fetal femur length [differences -0.23 mm (95%CI -0.45 to -0.00) and -0.41 mm (95%CI -0.69 to -0.13), respectively] and a smaller birth length [difference -2.61 mm (95%CI -5.32 to 0.11)].  The maternal  T-allele of rs1051730 was associated with a lower third trimester estimated fetal weight [difference -33 grams (95%CI -55 to -10)], and tended to be associated with birth weight [difference -38 grams (95%CI -89 to 13)]. This association persisted after adjustment for smoking quantity. CONCLUSIONS:  Our results suggest that maternal rs1051730 genotype modifies the associations of maternal smoking during pregnancy with impairedfetal growth in length and weight. These results should be considered as hypothesis generating and indicate the need for large-scale genome wide association studies focusing on gene--fetal smoke exposure interactions.","RESULTS: Among mothers who did not smoke during pregnancy (82.9%), maternal rs1051730 was not consistently associated with any fetal growth characteristic.",rs1051730,fetal growth characteristic,negative,-
"OBJECTIVE: Maternal smoking during pregnancy is associated with fetal growth retardation. We examined whether a common genetic variant atchromosome 15q25 rs1051730, which is known to be involved in nicotine metabolism, modifies the associations of maternal smoking with fetal growth characteristics. METHODS: This study was performed in 3,563 European mothers participating in a population-based prospective cohort study from earlypregnancy onwards. Smoking was assessed by postal questionnaires and fetal growth characteristics were measured by ultrasound examinations in each trimester of pregnancy. RESULTS: Among mothers who did not smoke during pregnancy (82.9%), maternal rs1051730 was not consistently associated with any fetal growth characteristic. Among mothers who continued smoking during pregnancy (17.1%), maternal rs1051730 was not associated with head circumference.  The T-allele of maternal rs1051730 was associated with a smaller second and third trimester fetal femur length [differences -0.23 mm (95%CI -0.45 to -0.00) and -0.41 mm (95%CI -0.69 to -0.13), respectively] and a smaller birth length [difference -2.61 mm (95%CI -5.32 to 0.11)].  The maternal  T-allele of rs1051730 was associated with a lower third trimester estimated fetal weight [difference -33 grams (95%CI -55 to -10)], and tended to be associated with birth weight [difference -38 grams (95%CI -89 to 13)]. This association persisted after adjustment for smoking quantity. CONCLUSIONS:  Our results suggest that maternal rs1051730 genotype modifies the associations of maternal smoking during pregnancy with impairedfetal growth in length and weight. These results should be considered as hypothesis generating and indicate the need for large-scale genome wide association studies focusing on gene--fetal smoke exposure interactions.","Among mothers who continued smoking during pregnancy (17.1%), maternal rs1051730 was not associated with head circumference.",rs1051730,head circumference,negative,-
"OBJECTIVE: Maternal smoking during pregnancy is associated with fetal growth retardation. We examined whether a common genetic variant atchromosome 15q25 rs1051730, which is known to be involved in nicotine metabolism, modifies the associations of maternal smoking with fetal growth characteristics. METHODS: This study was performed in 3,563 European mothers participating in a population-based prospective cohort study from earlypregnancy onwards. Smoking was assessed by postal questionnaires and fetal growth characteristics were measured by ultrasound examinations in each trimester of pregnancy. RESULTS: Among mothers who did not smoke during pregnancy (82.9%), maternal rs1051730 was not consistently associated with any fetal growth characteristic. Among mothers who continued smoking during pregnancy (17.1%), maternal rs1051730 was not associated with head circumference.  The T-allele of maternal rs1051730 was associated with a smaller second and third trimester fetal femur length [differences -0.23 mm (95%CI -0.45 to -0.00) and -0.41 mm (95%CI -0.69 to -0.13), respectively] and a smaller birth length [difference -2.61 mm (95%CI -5.32 to 0.11)].  The maternal  T-allele of rs1051730 was associated with a lower third trimester estimated fetal weight [difference -33 grams (95%CI -55 to -10)], and tended to be associated with birth weight [difference -38 grams (95%CI -89 to 13)]. This association persisted after adjustment for smoking quantity. CONCLUSIONS:  Our results suggest that maternal rs1051730 genotype modifies the associations of maternal smoking during pregnancy with impairedfetal growth in length and weight. These results should be considered as hypothesis generating and indicate the need for large-scale genome wide association studies focusing on gene--fetal smoke exposure interactions.","The T-allele of maternal rs1051730 was associated with a smaller second and third trimester fetal femur length [differences -0.23 mm (95%CI -0.45 to -0.00) and -0.41 mm (95%CI -0.69 to -0.13), respectively] and a smaller birth length [difference -2.61 mm (95%CI -5.32 to 0.11)].",rs1051730,second and third trimester fetal femur length,positive,weak
"OBJECTIVE: Maternal smoking during pregnancy is associated with fetal growth retardation. We examined whether a common genetic variant atchromosome 15q25 rs1051730, which is known to be involved in nicotine metabolism, modifies the associations of maternal smoking with fetal growth characteristics. METHODS: This study was performed in 3,563 European mothers participating in a population-based prospective cohort study from earlypregnancy onwards. Smoking was assessed by postal questionnaires and fetal growth characteristics were measured by ultrasound examinations in each trimester of pregnancy. RESULTS: Among mothers who did not smoke during pregnancy (82.9%), maternal rs1051730 was not consistently associated with any fetal growth characteristic. Among mothers who continued smoking during pregnancy (17.1%), maternal rs1051730 was not associated with head circumference.  The T-allele of maternal rs1051730 was associated with a smaller second and third trimester fetal femur length [differences -0.23 mm (95%CI -0.45 to -0.00) and -0.41 mm (95%CI -0.69 to -0.13), respectively] and a smaller birth length [difference -2.61 mm (95%CI -5.32 to 0.11)].  The maternal  T-allele of rs1051730 was associated with a lower third trimester estimated fetal weight [difference -33 grams (95%CI -55 to -10)], and tended to be associated with birth weight [difference -38 grams (95%CI -89 to 13)]. This association persisted after adjustment for smoking quantity. CONCLUSIONS:  Our results suggest that maternal rs1051730 genotype modifies the associations of maternal smoking during pregnancy with impairedfetal growth in length and weight. These results should be considered as hypothesis generating and indicate the need for large-scale genome wide association studies focusing on gene--fetal smoke exposure interactions.","The T-allele of maternal rs1051730 was associated with a smaller second and third trimester fetal femur length [differences -0.23 mm (95%CI -0.45 to -0.00) and -0.41 mm (95%CI -0.69 to -0.13), respectively] and a smaller birth length [difference -2.61 mm (95%CI -5.32 to 0.11)].",rs1051730,smaller birth length,positive,weak
"OBJECTIVE: Maternal smoking during pregnancy is associated with fetal growth retardation. We examined whether a common genetic variant atchromosome 15q25 rs1051730, which is known to be involved in nicotine metabolism, modifies the associations of maternal smoking with fetal growth characteristics. METHODS: This study was performed in 3,563 European mothers participating in a population-based prospective cohort study from earlypregnancy onwards. Smoking was assessed by postal questionnaires and fetal growth characteristics were measured by ultrasound examinations in each trimester of pregnancy. RESULTS: Among mothers who did not smoke during pregnancy (82.9%), maternal rs1051730 was not consistently associated with any fetal growth characteristic. Among mothers who continued smoking during pregnancy (17.1%), maternal rs1051730 was not associated with head circumference.  The T-allele of maternal rs1051730 was associated with a smaller second and third trimester fetal femur length [differences -0.23 mm (95%CI -0.45 to -0.00) and -0.41 mm (95%CI -0.69 to -0.13), respectively] and a smaller birth length [difference -2.61 mm (95%CI -5.32 to 0.11)].  The maternal  T-allele of rs1051730 was associated with a lower third trimester estimated fetal weight [difference -33 grams (95%CI -55 to -10)], and tended to be associated with birth weight [difference -38 grams (95%CI -89 to 13)]. This association persisted after adjustment for smoking quantity. CONCLUSIONS:  Our results suggest that maternal rs1051730 genotype modifies the associations of maternal smoking during pregnancy with impairedfetal growth in length and weight. These results should be considered as hypothesis generating and indicate the need for large-scale genome wide association studies focusing on gene--fetal smoke exposure interactions.","The maternal  T-allele of rs1051730 was associated with a lower third trimester estimated fetal weight [difference -33 grams (95%CI -55 to -10)], and tended to be associated with birth weight [difference -38 grams (95%CI -89 to 13)].",rs1051730,lower third trimester estimated fetal weight [difference -33 grams (95%CI -55 to -10)],positive,weak
"OBJECTIVE: Maternal smoking during pregnancy is associated with fetal growth retardation. We examined whether a common genetic variant atchromosome 15q25 rs1051730, which is known to be involved in nicotine metabolism, modifies the associations of maternal smoking with fetal growth characteristics. METHODS: This study was performed in 3,563 European mothers participating in a population-based prospective cohort study from earlypregnancy onwards. Smoking was assessed by postal questionnaires and fetal growth characteristics were measured by ultrasound examinations in each trimester of pregnancy. RESULTS: Among mothers who did not smoke during pregnancy (82.9%), maternal rs1051730 was not consistently associated with any fetal growth characteristic. Among mothers who continued smoking during pregnancy (17.1%), maternal rs1051730 was not associated with head circumference.  The T-allele of maternal rs1051730 was associated with a smaller second and third trimester fetal femur length [differences -0.23 mm (95%CI -0.45 to -0.00) and -0.41 mm (95%CI -0.69 to -0.13), respectively] and a smaller birth length [difference -2.61 mm (95%CI -5.32 to 0.11)].  The maternal  T-allele of rs1051730 was associated with a lower third trimester estimated fetal weight [difference -33 grams (95%CI -55 to -10)], and tended to be associated with birth weight [difference -38 grams (95%CI -89 to 13)]. This association persisted after adjustment for smoking quantity. CONCLUSIONS:  Our results suggest that maternal rs1051730 genotype modifies the associations of maternal smoking during pregnancy with impairedfetal growth in length and weight. These results should be considered as hypothesis generating and indicate the need for large-scale genome wide association studies focusing on gene--fetal smoke exposure interactions.","The maternal  T-allele of rs1051730 was associated with a lower third trimester estimated fetal weight [difference -33 grams (95%CI -55 to -10)], and tended to be associated with birth weight [difference -38 grams (95%CI -89 to 13)].",rs1051730,birth weight,positive,weak
"OBJECTIVE: Maternal smoking during pregnancy is associated with fetal growth retardation. We examined whether a common genetic variant atchromosome 15q25 rs1051730, which is known to be involved in nicotine metabolism, modifies the associations of maternal smoking with fetal growth characteristics. METHODS: This study was performed in 3,563 European mothers participating in a population-based prospective cohort study from earlypregnancy onwards. Smoking was assessed by postal questionnaires and fetal growth characteristics were measured by ultrasound examinations in each trimester of pregnancy. RESULTS: Among mothers who did not smoke during pregnancy (82.9%), maternal rs1051730 was not consistently associated with any fetal growth characteristic. Among mothers who continued smoking during pregnancy (17.1%), maternal rs1051730 was not associated with head circumference.  The T-allele of maternal rs1051730 was associated with a smaller second and third trimester fetal femur length [differences -0.23 mm (95%CI -0.45 to -0.00) and -0.41 mm (95%CI -0.69 to -0.13), respectively] and a smaller birth length [difference -2.61 mm (95%CI -5.32 to 0.11)].  The maternal  T-allele of rs1051730 was associated with a lower third trimester estimated fetal weight [difference -33 grams (95%CI -55 to -10)], and tended to be associated with birth weight [difference -38 grams (95%CI -89 to 13)]. This association persisted after adjustment for smoking quantity. CONCLUSIONS:  Our results suggest that maternal rs1051730 genotype modifies the associations of maternal smoking during pregnancy with impairedfetal growth in length and weight. These results should be considered as hypothesis generating and indicate the need for large-scale genome wide association studies focusing on gene--fetal smoke exposure interactions.",CONCLUSIONS:  Our results suggest that maternal rs1051730 genotype modifies the associations of maternal smoking during pregnancy with impairedfetal growth in length and weight.,rs1051730,impairedfetal growth in length and weight,positive,weak
"BACKGROUND: Rates of tobacco smoking are significantly higher in patients with schizophrenia compared with the general population. The underlying mechanism for this comorbidity is unclear. One hypothesis is that there are common genetic factors that predispose to both nicotine dependence (ND) and schizophrenia. To investigate this hypothesis, we examined the association of the 15q25 gene cluster, the most significant candidate region to date implicated in ND and smoking behavior, with schizophrenia and bipolar disorder. METHODS: Five variants in the 15q25 gene cluster (rs951266, rs16969968, rs1051730, rs8040868, and rs17477223) were selected to test for association with schizophrenia diagnosis, bipolar disorder diagnosis, and the presence of negative symptoms of schizophrenia. Effects of the variants on 15q25 gene expression were analyzed using publically available postmortem brain expression data. RESULTS: A meta-analysis revealed four markers associated with risk for schizophrenia and bipolar disorder(rs951266, rs16969968, rs8040868, and rs17477223), and with the presence of negative symptoms of schizophrenia (rs951266, rs1051730, rs8040868, and rs17477223). The associations were in the same direction as that found for ND. Gene expression analysis indicated an association between genotypes of the rs1051730 variant and CHRNA5 expression in brain and peripheral blood mononuclear cells, and with the rs16969968 and rs17477223 variants in brain. CONCLUSIONS: Variants in the 15q25 gene cluster are associated with risk for schizophrenia/bipolar illness, negative symptoms of schizophrenia, and influence CHRNA5 expression in the brain and peripheral blood mononuclear cells. These results are consistent with the notion that there are genetic mechanisms common to schizophrenia, ND, and bipolar disorder.","Gene expression analysis indicated an association between genotypes of the rs1051730 variant and CHRNA5 expression in brain and peripheral blood mononuclear cells, and with the rs16969968 and rs17477223 variants in brain.",rs1051730,blood mononuclear cells,positive,weak
